year,moose,wolves,"July-Sept (temp, F)","Apr-May (temp, F)","Jan-Feb (temp, F)","May-Aug (precip, inches)",snow.depth (cm)
1959,538,20,61.2,43.9,1.4,16.8,20
1960,564,22,60.667,43.4,8.45,12.08,14
1961,572,22,60.967,41.4,9.75,8.94,23
1962,579,23,57.9,42.6,2.15,16.01,22.74415385
1963,596,20,60.733,43.5,-0.35,14.1,22.48830769
1964,620,26,58.333,45.75,12.4,17.35,22.23246154
1965,634,28,55.567,43.65,1.25,13.68,21.97661538
1966,661,26,60.367,39.2,1.7,13.06,21.72076923
1967,766,22,58.8,39.9,2.75,12.49,21.46492308
1968,848,22,59.133,43,5.85,18.24,21.20907692
1969,1041,17,60.7,44.95,7.8,14.37,20.95323077
1970,1045,18,61.7,41.15,3.35,11.51,20.69738462
1971,1183,20,58.733,42.45,3.2,13.54,20.44153846
1972,1243,23,57.433,44.1,-0.05,16.11,20.18569231
1973,1215,24,60.2,42.7,10.85,17.24,19.92984615
1974,1203,31,58.133,41.55,5.65,15.86,19.674
1975,1139,41,59.733,42.8,9.05,13.52,18.38
1976,1070,44,60.867,45.95,10.45,10.92,21.062
1977,949,34,57.767,50.55,4.7,17.72,15.074
1978,845,40,60.3,44.9,3.25,18.44,17.055
1979,857,43,59.533,39.5,-1.15,13.9,25.737
1980,788,50,60.1,47.95,7.15,12.89,14.139
1981,767,30,60.333,44.5,11.7,13.32,11.17
1982,780,14,59,43.75,0.4,16.11,21.216
1983,830,23,63.633,41.1,14.45,13.93,16.248
1984,927,24,60.133,44.85,12.5,13.5,12.785
1985,976,22,57.933,47.05,5.45,17.16,13.504
1986,1014,20,58.4,47.45,9.8,16.14,23.097
1987,1046,16,61.5,49.2,17.95,17.34,14.057
1988,1116,12,62.133,47.3,3.1,18.98,17.378
1989,1260,12,61.4,43.35,6.6,13.56,23.25
1990,1315,15,61,43.15,13.05,11.48,20.319
1991,1496,12,60.367,48.35,9.1,13.63,15.179
1992,1697,12,56.433,44.15,15.2,15.23,18.077
1993,1784,13,57.9,42.6,9.1,18.3,15.179
1994,2017,17,59.7,44.6,-0.4,15.35,18.613
1995,2117,16,60.567,41.65,9.5,14.89,10.265
1996,2398,22,60.567,40.3,2.8,14.56,33.246
1997,900,24,60.3,40.7,8.35,11.26,25.525
1998,925,14,63,49.4,20.75,12.2,16.944
1999,997,25,61.033,47.35,12.4,20.51,15.369
2000,1031,29,60.067,45.1,12.6,15.12,11.811
2001,1120,19,61.8,46,10.05,16.22,23.075
2002,1100,17,63.033,41,16.65,15.47,8.209
2003,900,19,62.367,44.2,5.8,12.61,6.78
2004,750,29,59.567,42.05,7.6,12.05,16.696
2005,540,30,62.267,45.85,10.15,13.52,27.559
2006,450,30,62.3,48.8,15.2,11.86,16.426
2007,385,21,61.3,45.4,7.95,10.13,7.087
2008,650,23,60.533,41.55,7.75,13.53,14.291
2009,530,24,60,43.55,6,11.78,22.953
2010,510,19,61.367,49.2,10.65,15.62,12.913
2011,515,16,62.433,43.85,6.85,13.16,19.291
2012,750,9,62.067,46.5,17.15,19.8,14.173
2013,975,8,61.833,39.8,8.95,15.07,11.654
2014,1050,9,60.167,42.05,-1.05,16.8,28.504
2015,1250,3,62.867,44.65,3.85,15.5,18.898
2016,1300,2,62.6,44.2,11.95,15.62,25.998
2017,1600,2,60.633,43.85,15.4,16.12,16.201
2018,1475,2,61.8,42.7,6.05,13.05,19.232
2019,2060,15,61.8,41.65,3.5,13.05,21.285
